Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.225,11.2,5.0,7.3,3.539,4.9,7.0,0.37,1.636,1.218,2.198,4.167,18.023,1.917,-0.756,15.87,-7.18,-24.38,9.45,-0.66,200.0,59.0,0.006,9.607
0.225,8.8,5.0,7.0,3.593,4.7,2.0,0.6,1.393,1.24,1.711,3.663,15.652,0.231,-2.028,5.56,-19.28,-9.64,-6.38,-0.08,200.0,59.0,0.006,7.366
0.225,16.0,5.0,7.8,3.48,5.25,7.0,0.1,1.715,1.477,3.154,5.84,22.834,2.474,-1.837,5.37,-9.36,-31.5,-5.49,0.15,200.0,59.0,0.006,0.0
0.225,14.2,6.0,9.0,3.78,8.0,7.0,0.6,0.558,-0.331,0.712,1.385,20.962,3.18,0.398,7.29,11.5,-31.92,8.44,-0.94,200.0,59.0,0.006,0.0
0.235,15.6,5.0,7.77,3.457,5.14,7.0,0.11,2.004,1.697,3.755,6.122,22.363,-2.198,2.645,-55.33,42.14,41.4,-32.25,-0.51,200.0,59.0,0.006,13.721
0.235,15.4,5.0,7.74,3.461,5.14,4.0,0.11,1.856,1.645,3.526,6.426,22.222,0.497,-1.555,-30.34,2.62,-4.94,-34.93,0.08,200.0,59.0,0.006,13.553
0.235,15.2,5.0,7.74,3.465,5.14,7.0,0.12,1.912,1.671,3.481,5.988,22.123,1.366,-2.767,20.0,-29.31,-26.87,1.27,-0.21,200.0,59.0,0.006,13.353
0.235,14.5,5.0,7.71,3.479,5.05,4.0,0.14,1.739,1.522,3.183,5.877,21.391,-3.111,-2.739,12.79,-42.63,21.38,-4.75,0.09,200.0,59.0,0.006,12.685
0.235,14.5,5.0,7.67,3.479,5.08,5.0,0.14,1.806,1.526,3.211,5.64,21.314,0.632,-0.146,0.06,1.07,-7.11,-0.79,-0.14,200.0,59.0,0.006,12.716
0.235,14.2,5.0,7.65,3.484,5.04,6.0,0.15,1.759,1.461,3.115,5.517,21.049,1.397,-2.078,17.99,-22.03,-24.59,3.49,-0.11,200.0,59.0,0.006,12.416
0.235,13.9,5.0,7.65,3.49,5.04,4.0,0.16,1.76,1.46,3.024,5.342,20.823,1.926,-2.832,25.59,-30.46,-33.93,5.68,-0.25,200.0,59.0,0.006,12.148
0.235,13.3,5.0,7.6,3.5,4.99,3.0,0.19,1.563,1.377,2.847,5.368,20.066,1.568,0.12,-16.77,15.17,-13.07,-13.69,0.18,200.0,59.0,0.006,11.58
0.235,13.1,5.0,7.5,3.504,5.04,5.0,0.2,1.673,1.361,2.769,4.989,19.916,-0.411,0.781,1.38,4.77,6.61,5.67,-0.25,200.0,59.0,0.006,11.412
0.235,12.2,5.0,7.4,3.52,4.99,7.0,0.27,1.645,1.293,2.447,4.606,19.057,-3.135,-8.269,59.51,-114.97,-4.67,3.55,-0.4,200.0,59.0,0.006,10.575
0.235,12.0,5.0,7.4,3.524,4.95,6.0,0.28,1.599,1.233,2.411,4.568,18.887,5.6,-4.901,0.05,-22.67,-74.67,-28.09,-0.3,200.0,59.0,0.006,10.375
0.235,11.8,5.0,7.4,3.527,4.96,6.0,0.31,1.579,1.207,2.374,4.518,18.607,-1.337,-3.55,23.94,-48.54,-1.81,0.15,-0.25,200.0,59.0,0.006,10.175
0.235,11.4,5.0,7.3,3.535,4.92,2.0,0.34,1.499,1.134,2.311,4.497,18.297,-0.092,-2.077,4.46,-21.15,-6.61,-8.1,0.01,200.0,59.0,0.006,9.807
0.235,11.0,5.0,7.3,3.542,4.89,5.0,0.39,1.518,1.136,2.182,4.343,17.915,1.606,-0.338,0.72,2.74,-18.05,-1.33,-0.08,200.0,59.0,0.006,9.407
0.235,9.9,5.0,7.2,3.565,4.79,2.0,0.51,1.453,1.192,1.936,4.043,16.668,0.544,-2.949,19.31,-33.74,-18.74,-0.37,0.02,200.0,59.0,0.006,8.371
0.235,9.9,5.0,7.2,3.565,4.79,6.0,0.51,1.459,1.192,1.935,4.068,16.798,0.195,0.231,-4.01,4.76,-0.58,-2.11,-0.01,200.0,59.0,0.006,8.371
0.235,9.7,5.0,7.15,3.57,4.79,2.0,0.53,1.411,1.21,1.901,3.837,16.623,0.644,-2.618,5.38,-23.66,-16.24,-10.41,0.13,200.0,59.0,0.006,8.203
0.235,9.7,5.0,7.15,3.57,4.79,7.0,0.53,1.479,1.187,1.926,3.696,16.559,0.451,-0.623,-1.33,-3.23,-6.52,-4.72,-0.53,200.0,59.0,0.006,8.203
